HOY,Head,Chest,Back,Pelvis,Left_shoulder,Right_shoulder,Left_arm,Right_arm,Left_hand,Right_hand,Left_thigh,Right_thigh,Left_calf,Right_calf,Left_foot,Right_foot
1879.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1879.52,0.05,0.10,0.01,0.04,0.01,0.04,0.02,0.02,0.01,0.01,0.02,0.04,0.04,0.04,0.01,0.01
1879.53,0.10,0.21,0.03,0.07,0.03,0.07,0.03,0.04,0.01,0.02,0.05,0.08,0.07,0.08,0.02,0.02
1879.55,0.15,0.31,0.04,0.11,0.04,0.11,0.05,0.06,0.02,0.03,0.07,0.12,0.11,0.12,0.03,0.03
1879.57,0.21,0.42,0.06,0.15,0.06,0.14,0.06,0.07,0.03,0.04,0.10,0.17,0.15,0.17,0.04,0.04
1879.58,0.26,0.52,0.07,0.18,0.07,0.17,0.07,0.09,0.04,0.05,0.12,0.21,0.19,0.21,0.05,0.05
1879.60,0.31,0.63,0.09,0.22,0.08,0.21,0.09,0.11,0.04,0.06,0.14,0.25,0.22,0.25,0.06,0.06
1879.62,0.36,0.73,0.10,0.25,0.10,0.25,0.10,0.13,0.05,0.07,0.17,0.29,0.26,0.29,0.07,0.07
1879.63,0.41,0.83,0.11,0.29,0.11,0.28,0.12,0.15,0.06,0.08,0.19,0.33,0.30,0.33,0.08,0.09
1879.65,0.46,0.94,0.13,0.33,0.13,0.32,0.13,0.17,0.07,0.09,0.21,0.37,0.33,0.37,0.09,0.10
1879.67,0.51,1.04,0.14,0.36,0.14,0.35,0.15,0.19,0.07,0.10,0.24,0.42,0.37,0.41,0.09,0.11
1879.68,0.56,1.15,0.16,0.40,0.16,0.39,0.17,0.20,0.08,0.11,0.26,0.46,0.41,0.45,0.10,0.12
1879.70,0.62,1.25,0.17,0.44,0.17,0.42,0.18,0.22,0.09,0.12,0.29,0.50,0.44,0.50,0.11,0.13
1879.72,0.67,1.36,0.19,0.47,0.18,0.46,0.20,0.24,0.10,0.13,0.31,0.54,0.48,0.54,0.12,0.14
1879.73,0.72,1.46,0.20,0.51,0.20,0.49,0.21,0.26,0.10,0.14,0.33,0.58,0.52,0.58,0.13,0.15
1879.75,0.77,1.56,0.21,0.55,0.21,0.53,0.23,0.28,0.11,0.15,0.36,0.62,0.56,0.62,0.14,0.16
1879.77,0.82,1.67,0.23,0.58,0.23,0.56,0.24,0.30,0.12,0.16,0.38,0.66,0.59,0.66,0.15,0.17
1879.78,0.87,1.77,0.24,0.62,0.24,0.60,0.26,0.31,0.12,0.17,0.41,0.71,0.63,0.70,0.16,0.18
1879.80,0.92,1.88,0.26,0.65,0.26,0.63,0.27,0.33,0.13,0.18,0.43,0.75,0.67,0.74,0.17,0.19
1879.82,0.98,1.98,0.27,0.69,0.27,0.66,0.29,0.35,0.14,0.19,0.45,0.79,0.70,0.79,0.18,0.20
1879.83,1.03,2.09,0.29,0.73,0.28,0.70,0.30,0.37,0.15,0.20,0.48,0.83,0.74,0.83,0.19,0.21
1879.85,1.08,2.19,0.30,0.76,0.30,0.73,0.32,0.39,0.15,0.21,0.50,0.87,0.78,0.87,0.20,0.22
1879.87,1.13,2.30,0.32,0.80,0.31,0.77,0.33,0.41,0.16,0.22,0.52,0.91,0.81,0.91,0.21,0.23
1879.88,1.18,2.40,0.33,0.84,0.33,0.81,0.34,0.43,0.17,0.23,0.55,0.95,0.85,0.95,0.22,0.25
1879.90,1.23,2.50,0.34,0.87,0.34,0.84,0.36,0.44,0.18,0.24,0.57,1.00,0.89,0.99,0.23,0.26
1879.92,1.28,2.61,0.36,0.91,0.35,0.88,0.38,0.46,0.18,0.25,0.60,1.04,0.93,1.03,0.24,0.27
1879.93,1.33,2.71,0.37,0.94,0.37,0.91,0.39,0.48,0.19,0.26,0.62,1.08,0.96,1.07,0.25,0.28
1879.95,1.39,2.82,0.39,0.98,0.38,0.95,0.41,0.50,0.20,0.27,0.64,1.12,1.00,1.12,0.26,0.29
