chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
0.82,0.65,0.28,0.41,0.17,0.43,0.13,0.09,0.10,0.41,0.27,0.53,0.18,0.15,0.49,0.47
0.84,0.66,0.29,0.42,0.18,0.44,0.13,0.09,0.10,0.42,0.28,0.54,0.19,0.15,0.50,0.48
0.86,0.68,0.29,0.42,0.18,0.45,0.14,0.09,0.10,0.43,0.28,0.55,0.19,0.15,0.51,0.49
0.87,0.69,0.30,0.43,0.18,0.46,0.14,0.09,0.11,0.44,0.29,0.56,0.19,0.15,0.52,0.50
0.89,0.70,0.30,0.44,0.19,0.47,0.14,0.09,0.11,0.45,0.30,0.57,0.20,0.16,0.53,0.51
0.91,0.72,0.31,0.45,0.19,0.48,0.14,0.10,0.11,0.46,0.30,0.58,0.20,0.16,0.54,0.52
0.92,0.73,0.31,0.46,0.19,0.48,0.15,0.10,0.11,0.47,0.31,0.59,0.20,0.16,0.55,0.53
0.94,0.74,0.32,0.47,0.20,0.49,0.15,0.10,0.11,0.47,0.31,0.60,0.21,0.17,0.56,0.54
0.96,0.76,0.33,0.48,0.20,0.50,0.15,0.10,0.12,0.48,0.32,0.61,0.21,0.17,0.57,0.55
0.97,0.77,0.33,0.48,0.20,0.51,0.16,0.10,0.12,0.49,0.32,0.62,0.22,0.17,0.58,0.56
0.99,0.78,0.34,0.49,0.21,0.52,0.16,0.10,0.12,0.50,0.33,0.64,0.22,0.18,0.59,0.57
1.01,0.80,0.34,0.50,0.21,0.53,0.16,0.11,0.12,0.51,0.34,0.65,0.22,0.18,0.60,0.58
1.02,0.81,0.35,0.51,0.21,0.54,0.16,0.11,0.12,0.52,0.34,0.66,0.23,0.18,0.61,0.59
1.04,0.82,0.35,0.52,0.22,0.55,0.17,0.11,0.13,0.52,0.35,0.67,0.23,0.18,0.62,0.60
1.06,0.83,0.36,0.52,0.22,0.55,0.17,0.11,0.13,0.53,0.35,0.67,0.23,0.19,0.63,0.61
1.08,0.85,0.36,0.53,0.22,0.56,0.17,0.11,0.13,0.54,0.36,0.68,0.23,0.19,0.64,0.61
1.09,0.86,0.36,0.53,0.23,0.56,0.17,0.11,0.13,0.54,0.36,0.69,0.24,0.19,0.65,0.62
1.11,0.87,0.37,0.54,0.23,0.57,0.17,0.11,0.13,0.55,0.37,0.70,0.24,0.19,0.66,0.63
1.13,0.88,0.37,0.54,0.23,0.58,0.17,0.12,0.14,0.56,0.37,0.71,0.24,0.20,0.66,0.64
1.14,0.89,0.37,0.55,0.23,0.58,0.18,0.12,0.14,0.56,0.38,0.72,0.25,0.20,0.67,0.64
1.16,0.91,0.38,0.56,0.24,0.59,0.18,0.12,0.14,0.57,0.38,0.72,0.25,0.20,0.68,0.65
1.18,0.92,0.38,0.56,0.24,0.60,0.18,0.12,0.14,0.57,0.39,0.73,0.25,0.20,0.69,0.66
1.20,0.93,0.38,0.57,0.24,0.60,0.18,0.12,0.14,0.58,0.39,0.74,0.25,0.21,0.70,0.67
1.21,0.94,0.39,0.57,0.25,0.61,0.18,0.12,0.15,0.59,0.39,0.75,0.26,0.21,0.71,0.67
1.23,0.95,0.39,0.58,0.25,0.62,0.19,0.12,0.15,0.59,0.40,0.76,0.26,0.21,0.72,0.68
